product_id,product_name,category,subcategory,price,cost_price,brand,created_at
P001,Samsung Charger,Electronics,Accessories,1356,706.04,Samsung,04-01-2026 08:21:51 AM
P002,Nike Yoga Mat,Sports,Equipment,4345,2389.9,Nike,09-08-2025 02:32:50 PM
P003,Nivea Shampoo,Beauty,Haircare,201,138.91,Nivea,07-01-2026 01:15:04 AM
P004,UrbanCo Mixer,Home,Kitchen,3983,2024.77,UrbanCo,09-10-2025 04:00:29 AM
P005,Nivea Face Wash,Beauty,Skincare,1130,688.04,Nivea,22-09-2025 10:25:57 PM
P006,UrbanCo Lamp,Home,Decor,2790,2050.92,UrbanCo,02-02-2026 02:54:59 AM
P007,Lakme Hair Oil,Beauty,Haircare,1471,853.72,Lakme,07-07-2025 12:23:12 PM
P008,Sony Bluetooth Headphones,Electronics,Headphones,2561,1712.29,Sony,19-09-2025 06:39:42 AM
P009,Nivea Lipstick,Beauty,Makeup,2838,1737.43,Nivea,06-07-2025 01:11:41 PM
P010,Samsung Phone Case,Electronics,Accessories,1711,925.81,Samsung,14-02-2026 08:50:36 AM
P011,UrbanCo Wooden Sofa Small,Home,Furniture,26505,13428.22,UrbanCo,03-10-2025 05:09:04 AM
P012,Nivea Foundation,Beauty,Makeup,2237,1482.62,Nivea,07-08-2025 02:40:29 PM
P013,OnePlus 13 256GB Black,Electronics,Smartphone,75619,39963.16,OnePlus,03-04-2026 01:58:57 AM
P014,Nike Track Pants,Sports,Activewear,1075,711.07,Nike,16-08-2025 06:36:00 PM
P015,Nike Dumbbells,Sports,Equipment,4660,2418.35,Nike,06-11-2025 10:17:51 AM
P016,UrbanCo Cookware Set,Home,Kitchen,8363,4351.92,UrbanCo,27-01-2026 04:37:38 AM
P017,Lakme Face Wash,Beauty,Skincare,1574,1036.8,Lakme,17-02-2026 10:55:05 PM
P018,UrbanCo Metal Dining Table Large,Home,Furniture,24543,18959.1,UrbanCo,14-01-2026 01:00:54 AM
P019,H&M Green Denim T-Shirt,Clothing,T-Shirts,934,514.16,H&M,27-11-2025 11:59:24 AM
P020,Puma Yoga Mat,Sports,Equipment,12458,9726.13,Puma,06-07-2025 07:12:28 AM
P021,H&M Red Polyester T-Shirt,Clothing,T-Shirts,370,257,H&M,14-05-2025 02:46:04 PM
P022,H&M Red Cotton Shirt,Clothing,Shirts,2473,1686.28,H&M,22-09-2025 08:50:26 AM
P023,Zara White Cotton T-Shirt,Clothing,T-Shirts,474,242.72,Zara,28-08-2025 01:23:40 PM
P024,UrbanCo Metal Chair Small,Home,Furniture,25406,13277.16,UrbanCo,22-07-2025 07:40:07 AM
P025,Lakme Foundation,Beauty,Makeup,462,295.25,Lakme,07-12-2025 12:30:14 PM
P026,UrbanCo Wall Art,Home,Decor,1607,1105.61,UrbanCo,24-09-2025 04:26:09 PM
P027,Zara Black Cotton Shirt,Clothing,Shirts,836,588.38,Zara,28-05-2025 03:00:36 PM
P028,Apple 11 256GB Red,Electronics,Smartphone,66459,39922.7,Apple,05-09-2025 10:26:10 AM
P029,Adidas Running Shoes Size 8,Sports,Shoes,2068,1084.38,Adidas,12-04-2026 12:35:06 PM
P030,Apple MacBook M2 8GB RAM 512GB SSD,Electronics,Laptop,84012,43554.8,Apple,12-10-2025 08:19:24 AM
P031,Puma Sneakers Size 7,Sports,Shoes,7055,4148.05,Puma,16-09-2025 05:43:16 AM
P032,Samsung Galaxy S21 256GB Red,Electronics,Smartphone,74099,38918.52,Samsung,28-02-2026 08:02:50 PM
P033,UrbanCo Plastic Dining Table Small,Home,Furniture,7598,3876.67,UrbanCo,13-01-2026 05:07:00 PM
P034,Lakme Lipstick,Beauty,Makeup,325,186.84,Lakme,03-06-2025 01:18:17 AM
P035,Zara Red Denim Shirt,Clothing,Shirts,2759,2163.67,Zara,06-05-2025 08:01:43 PM
P036,Nivea Hair Oil,Beauty,Haircare,877,686.64,Nivea,08-12-2025 11:23:58 AM
P037,Apple MacBook Air 8GB RAM 512GB SSD,Electronics,Laptop,52804,38935.89,Apple,17-05-2025 05:35:52 AM
P038,Adidas Running Shoes Size 9,Sports,Shoes,1414,894.46,Adidas,12-10-2025 09:35:33 PM
P039,Puma Track Pants,Sports,Activewear,1372,1010.46,Puma,13-12-2025 08:05:28 AM
P040,Samsung Power Bank,Electronics,Accessories,2575,1815.31,Samsung,10-12-2025 07:30:02 AM
P041,H&M Green Cotton Jacket,Clothing,Jackets,7336,4626.79,H&M,05-09-2025 12:23:21 PM
P042,Dell ion 32GB RAM 512GB SSD,Electronics,Laptop,44211,32671.9,Dell,02-07-2025 04:19:08 PM
P043,JBL Bluetooth Headphones,Electronics,Headphones,1296,815.55,JBL,04-03-2026 10:33:50 PM
P044,H&M White Denim Jacket,Clothing,Jackets,5683,3461.28,H&M,28-03-2026 05:37:34 PM
P045,Puma Running Shoes Size 10,Sports,Shoes,6410,4446.3,Puma,16-11-2025 03:15:44 AM
P046,Nike Running Shoes Size 8,Sports,Shoes,5354,3763.12,Nike,18-08-2025 10:39:40 PM
P047,Dell XPS 32GB RAM 1TB SSD,Electronics,Laptop,119906,63044.54,Dell,25-12-2025 06:30:44 PM
P048,Nivea Moisturizer,Beauty,Skincare,1859,1313.54,Nivea,08-06-2025 02:12:15 AM
P049,Dell XPS 16GB RAM 512GB SSD,Electronics,Laptop,36316,21594.23,Dell,18-08-2025 11:29:24 AM
P050,H&M Green Cotton Jeans,Clothing,Jeans,2713,1754.22,H&M,10-03-2026 10:44:35 PM
P051,Zara Red Polyester T-Shirt,Clothing,T-Shirts,349,272.32,Zara,24-01-2026 12:11:46 PM
P052,Apple Air 8GB RAM 1TB SSD,Electronics,Laptop,40493,27724.05,Apple,05-11-2025 06:40:57 AM
P053,Puma Dumbbells,Sports,Equipment,14598,8437.32,Puma,18-11-2025 10:07:13 PM
P054,Adidas Yoga Mat,Sports,Equipment,5689,3378.52,Adidas,30-07-2025 05:52:32 PM
P055,Sony Wireless Earbuds,Electronics,Headphones,3070,1852.7,Sony,10-10-2025 08:20:14 PM
P056,Lakme Shampoo,Beauty,Haircare,952,744.28,Lakme,28-11-2025 09:09:44 AM
P057,H&M Blue Denim Jeans,Clothing,Jeans,1555,1160.76,H&M,13-05-2025 02:51:49 AM
P058,Puma Running Shoes Size 8,Sports,Shoes,7047,5073.48,Puma,08-10-2025 01:23:13 PM
P059,H&M Black Denim T-Shirt,Clothing,T-Shirts,1070,615.67,H&M,07-06-2025 11:11:34 PM
P060,Boat Bluetooth Headphones,Electronics,Headphones,4117,2126.11,Boat,21-10-2025 10:35:24 PM
P061,H&M Black Polyester Shirt,Clothing,Shirts,1694,1052.33,H&M,19-12-2025 02:42:11 PM
P062,H&M Green Polyester Jacket,Clothing,Jackets,6565,5196.88,H&M,08-05-2025 08:56:04 PM
P063,UrbanCo Metal Chair Large,Home,Furniture,4232,2999.25,UrbanCo,09-10-2025 07:17:18 PM
P064,Zara White Denim Shirt,Clothing,Shirts,2244,1405.3,Zara,08-12-2025 07:19:14 PM
P065,HP Pavilion 16GB RAM 512GB SSD,Electronics,Laptop,39186,20037.76,HP,14-12-2025 05:36:13 AM
P066,Puma Running Shoes Size 7,Sports,Shoes,6273,3212.25,Puma,05-04-2026 02:16:24 AM
P067,Boat Wireless Earbuds,Electronics,Headphones,2941,1598.73,Boat,17-11-2025 01:53:59 PM
P068,Puma Sports T-Shirt,Sports,Activewear,648,494.8,Puma,01-10-2025 04:55:26 AM
P069,Apple iPhone 13 128GB Black,Electronics,Smartphone,65851,41209.75,Apple,13-08-2025 11:51:49 PM
P070,H&M Black Cotton T-Shirt,Clothing,T-Shirts,1277,717.92,H&M,15-07-2025 02:26:38 PM
P071,Nike Sneakers Size 8,Sports,Shoes,4895,3826.73,Nike,02-08-2025 03:09:39 AM
P072,OnePlus Nord CE3 256GB Blue,Electronics,Smartphone,44563,29938.71,OnePlus,16-07-2025 09:49:27 AM
P073,Zara Black Denim Shirt,Clothing,Shirts,663,426.86,Zara,24-04-2025 06:15:17 PM
P074,Nike Running Shoes Size 9,Sports,Shoes,4123,2333.78,Nike,03-05-2025 02:15:40 PM
P075,Apple 8 256GB Black,Electronics,Smartphone,66064,44386.21,Apple,30-08-2025 01:02:44 AM
P076,Apple Macbook M1 16GB RAM 1TB SSD,Electronics,Laptop,102719,64999.22,Apple,28-12-2025 04:03:26 PM
P077,OnePlus C1 13 64GB Red,Electronics,Smartphone,35454,28206.17,OnePlus,27-03-2026 04:04:21 PM
P078,Zara Red Polyester Jeans,Clothing,Jeans,2265,1167.83,Zara,19-03-2026 12:31:57 PM
P079,Boat Charger,Electronics,Accessories,379,242.64,Boat,07-10-2025 09:54:14 AM
P080,Boat Phone Case,Electronics,Accessories,1006,683.96,Boat,12-11-2025 06:04:16 AM
P081,Adidas Dumbbells,Sports,Equipment,5112,3246.1,Adidas,24-07-2025 06:36:37 AM
P082,H&M Green Denim Jacket,Clothing,Jackets,3964,3119.07,H&M,08-03-2026 07:37:38 AM
P083,OnePlus 3 128GB White,Electronics,Smartphone,63280,34777.64,OnePlus,10-03-2026 06:09:04 AM
P084,H&M White Polyester Jeans,Clothing,Jeans,2041,1156.9,H&M,28-06-2025 10:50:26 PM
P085,UrbanCo Plastic Dining Table Large,Home,Furniture,12303,7894.07,UrbanCo,25-07-2025 12:16:42 AM
P086,Boat Power Bank,Electronics,Accessories,732,518.1,Boat,17-06-2025 07:17:24 PM
P087,OnePlus 11 Pro Max 256GB Red,Electronics,Smartphone,35870,28032.95,OnePlus,13-03-2026 10:15:23 AM
P088,Zara Red Denim Jeans,Clothing,Jeans,3394,1905.77,Zara,16-08-2025 03:27:09 PM
P089,Apple Macbook Air 16GB RAM 256GB SSD,Electronics,Laptop,88750,47728.9,Apple,10-12-2025 12:58:21 AM
